date,resting_heart_rate_in_bpm
01/01/2024,76
02/01/2024,80
03/01/2024,77
04/01/2024,82
05/01/2024,76
06/01/2024,72
07/01/2024,78
08/01/2024,75
09/01/2024,76
10/01/2024,77
11/01/2024,79
12/01/2024,79
13/01/2024,93
14/01/2024,89
15/01/2024,89
16/01/2024,81
17/01/2024,78
18/01/2024,83
19/01/2024,83
20/01/2024,82
21/01/2024,79
22/01/2024,75
23/01/2024,75
24/01/2024,69
25/01/2024,73
26/01/2024,73
27/01/2024,76
28/01/2024,67
29/01/2024,76
30/01/2024,72
31/01/2024,69
01/02/2024,76
02/02/2024,73
03/02/2024,74
04/02/2024,69
05/02/2024,82
06/02/2024,81
07/02/2024,75
08/02/2024,84
09/02/2024,81
10/02/2024,85
11/02/2024,83
12/02/2024,75
13/02/2024,77
14/02/2024,72
15/02/2024,73
16/02/2024,72
17/02/2024,73
18/02/2024,68
19/02/2024,73
20/02/2024,72
21/02/2024,67
22/02/2024,70
23/02/2024,72
24/02/2024,75
25/02/2024,69
26/02/2024,69
27/02/2024,67
28/02/2024,74
29/02/2024,75
01/03/2024,81
02/03/2024,69
03/03/2024,76
04/03/2024,73
05/03/2024,74
06/03/2024,79
07/03/2024,81
08/03/2024,78
09/03/2024,77
10/03/2024,83
11/03/2024,82
12/03/2024,71
13/03/2024,74
14/03/2024,78
15/03/2024,74
16/03/2024,77
17/03/2024,76
18/03/2024,74
19/03/2024,76
20/03/2024,75
21/03/2024,77
22/03/2024,72
23/03/2024,75
24/03/2024,74
25/03/2024,76
26/03/2024,83
27/03/2024,74
28/03/2024,75
29/03/2024,72
30/03/2024,71
31/03/2024,77
01/04/2024,66
02/04/2024,73
03/04/2024,70
04/04/2024,78
05/04/2024,72
06/04/2024,78
07/04/2024,70
08/04/2024,72
09/04/2024,72
10/04/2024,68
11/04/2024,75
12/04/2024,74
13/04/2024,78
14/04/2024,76
15/04/2024,69
16/04/2024,72
17/04/2024,78
18/04/2024,82
19/04/2024,80
20/04/2024,83
21/04/2024,80
22/04/2024,77
23/04/2024,82
24/04/2024,80
25/04/2024,85
26/04/2024,78
27/04/2024,85
28/04/2024,86
29/04/2024,84
30/04/2024,85
01/05/2024,76
02/05/2024,84
03/05/2024,80
04/05/2024,81
05/05/2024,81
06/05/2024,74
07/05/2024,71
08/05/2024,67
09/05/2024,68
10/05/2024,78
11/05/2024,64
12/05/2024,72
13/05/2024,75
14/05/2024,78
15/05/2024,80
16/05/2024,75
17/05/2024,72
18/05/2024,79
19/05/2024,81
20/05/2024,81
21/05/2024,81
22/05/2024,74
23/05/2024,77
24/05/2024,80
25/05/2024,79
26/05/2024,75
27/05/2024,76
28/05/2024,78
29/05/2024,79
30/05/2024,84
31/05/2024,84
01/06/2024,74
02/06/2024,69
03/06/2024,71
04/06/2024,75
05/06/2024,70
06/06/2024,76
07/06/2024,76
08/06/2024,83
09/06/2024,76
10/06/2024,70
11/06/2024,66
12/06/2024,67
13/06/2024,68
14/06/2024,72
15/06/2024,67
16/06/2024,73
17/06/2024,71
18/06/2024,70
19/06/2024,70
20/06/2024,79
21/06/2024,72
22/06/2024,71
23/06/2024,77
24/06/2024,70
25/06/2024,80
26/06/2024,72
27/06/2024,76
28/06/2024,73
29/06/2024,79
30/06/2024,70
01/07/2024,70
02/07/2024,77
03/07/2024,71
04/07/2024,72
05/07/2024,75
06/07/2024,73
07/07/2024,80
08/07/2024,72
09/07/2024,72
10/07/2024,76
11/07/2024,70
12/07/2024,63
13/07/2024,68
14/07/2024,71
15/07/2024,71
16/07/2024,77
17/07/2024,67
18/07/2024,68
19/07/2024,70
20/07/2024,78
21/07/2024,77
22/07/2024,69
23/07/2024,73
24/07/2024,65
25/07/2024,69
26/07/2024,72
27/07/2024,75
28/07/2024,77
29/07/2024,79
30/07/2024,73
31/07/2024,67
01/08/2024,70
02/08/2024,77
03/08/2024,73
04/08/2024,72
05/08/2024,75
06/08/2024,79
07/08/2024,74
08/08/2024,63
09/08/2024,82
10/08/2024,81
11/08/2024,65
12/08/2024,68
13/08/2024,70
14/08/2024,70
15/08/2024,68
16/08/2024,77
17/08/2024,72
18/08/2024,66
19/08/2024,66
20/08/2024,70
21/08/2024,64
22/08/2024,63
23/08/2024,66
24/08/2024,77
25/08/2024,75
26/08/2024,74
27/08/2024,65
28/08/2024,75
29/08/2024,68
30/08/2024,70
31/08/2024,73
01/09/2024,81
02/09/2024,67
03/09/2024,80
04/09/2024,72
05/09/2024,74
06/09/2024,75
07/09/2024,71
08/09/2024,82
09/09/2024,76
10/09/2024,78
11/09/2024,77
12/09/2024,69
13/09/2024,73
14/09/2024,64
15/09/2024,72
16/09/2024,72
17/09/2024,67
18/09/2024,70
19/09/2024,67
20/09/2024,71
21/09/2024,74
22/09/2024,69
07/10/2024,67
08/10/2024,77
09/10/2024,70
10/10/2024,72
11/10/2024,73
12/10/2024,67
13/10/2024,73
14/10/2024,75
15/10/2024,66
16/10/2024,66
17/10/2024,69
18/10/2024,71
19/10/2024,67
20/10/2024,72
21/10/2024,76
22/10/2024,78
23/10/2024,73
24/10/2024,73
25/10/2024,76
26/10/2024,70
27/10/2024,74
28/10/2024,78
29/10/2024,75
30/10/2024,68
31/10/2024,71
01/11/2024,74
02/11/2024,75
03/11/2024,73
04/11/2024,72
05/11/2024,68
06/11/2024,69
07/11/2024,73
08/11/2024,73
09/11/2024,77
10/11/2024,72
11/11/2024,71
12/11/2024,73
13/11/2024,74
14/11/2024,71
15/11/2024,73
16/11/2024,62
17/11/2024,81
18/11/2024,75
19/11/2024,68
20/11/2024,74
21/11/2024,76
22/11/2024,78
23/11/2024,78
24/11/2024,72
25/11/2024,76
26/11/2024,75
27/11/2024,70
28/11/2024,74
29/11/2024,64
30/11/2024,69
01/12/2024,75
02/12/2024,73
03/12/2024,71
04/12/2024,70
05/12/2024,72
06/12/2024,75
07/12/2024,67
08/12/2024,66